ProductID,CategoryL1,CategoryL2,Tags,PopularityRank,PopularityScore,SavingAmount
P52,Health,Vitamins,"customer favorite, durable, essential item, organic certified, top rated",29900,1.1992766684651454e-08,3.0
P53,Automotive,Electronics for Cars,"bestseller, budget-friendly, locally sourced, lightweight",12426,5.335770124963307e-08,3.0
P54,Grocery,Frozen Foods,"vintage style, new arrival, essential item, handmade",15724,3.5760472224071206e-08,4.28
P55,Grocery,Beverages,"organic certified, budget-friendly, new arrival, for adults",1404,2.1728828972692803e-06,3.16
P56,Toys,Remote Control,smart device,11441,6.140046064083067e-08,9.96
P57,Home & Kitchen,Appliances,"locally sourced, for kids, wireless, collectible, for adults",29315,1.240245264164046e-08,3.0
P58,Fashion,Kids' Fashion,"bestseller, durable, gift idea",21705,2.067325023825147e-08,5.09
P59,Health,Medical Supplies,"imported, new arrival",12144,5.5481145001585575e-08,3.0
P60,Toys,Action Figures,"wireless, organic certified, customer favorite, vegan friendly, easy to use",21001,2.1865149316426626e-08,3.0
P61,Beauty,Men's Grooming,"for adults, bestseller, lightweight, gift idea",24461,1.6871521584653824e-08,4.19
P62,Sports,Team Sports Gear,"for kids, essential item, smart device, lightweight",14574,4.068895198986243e-08,3.0
P63,Health,Vitamins,"for adults, easy to use, limited edition, for kids, locally sourced",22896,1.8878568363855335e-08,3.0
P64,Electronics,Accessories,"locally sourced, durable, premium quality, handmade, organic certified",16743,3.213984911349096e-08,25.0
P65,Health,Personal Care,"top rated, for kids, smart device, limited edition",21478,2.1046063682782048e-08,3.0
P66,Health,Wellness Devices,"locally sourced, easy to use",3271,5.159450852556446e-07,3.0
P67,Home & Kitchen,Lighting,on sale,13603,4.574898026270728e-08,4.97
P68,Books,Non-Fiction,"essential item, new arrival, vintage style, on sale, imported",19126,2.563299468131511e-08,3.0
P69,Sports,Fitness Gear,"on sale, premium quality",14991,3.878362310832185e-08,3.0
P70,Toys,Educational Toys,gluten-free,4736,2.7501762390811407e-07,3.0
P71,Fashion,Men's Apparel,"locally sourced, durable, handmade, imported",6876,1.4591146879284448e-07,3.0
P72,Health,Wellness Devices,"gift idea, heavy-duty, eco-friendly, lightweight",5206,2.3415494100066904e-07,3.0
P73,Sports,Cycling,"top rated, wireless",4935,2.5643201084299907e-07,25.0
P74,Grocery,Frozen Foods,"organic certified, modern design, imported, new arrival",13010,4.9350209504499036e-08,3.0
P75,Books,Children's Books,"vintage style, eco-friendly, modern design, essential item",29729,1.2110271875199358e-08,3.0
P76,Fashion,Kids' Fashion,"lightweight, heavy-duty",8339,1.051154731074136e-07,8.41
P77,Grocery,Pantry Staples,"heavy-duty, premium quality",21066,2.1750581341801583e-08,3.0
P78,Automotive,Car Care,"essential item, for kids",28586,1.2944928110262699e-08,3.0
P79,Beauty,Haircare,on sale,18638,2.6784379039555107e-08,3.0
P80,Health,Vitamins,"new arrival, locally sourced, on sale, durable",22500,1.9446888496281854e-08,9.0
P81,Home & Kitchen,Storage,"limited edition, premium quality, lightweight",27511,1.3816548445525128e-08,3.0
P82,Toys,Educational Toys,"collectible, gluten-free, new arrival, lightweight, customer favorite",544,1.0890360978207779e-05,14.86
P83,Electronics,Accessories,locally sourced,17586,2.9564898194316294e-08,4.04
P84,Health,Supplements,"easy to use, modern design, wireless",19175,2.5521739493124097e-08,3.0
P85,Grocery,Frozen Foods,"lightweight, imported, limited edition, gluten-free, essential item",13944,4.3863357237826707e-08,3.0
P86,Home & Kitchen,Appliances,"gift idea, customer favorite, collectible, durable",18229,2.781400756673945e-08,17.66
P87,Electronics,Wearables,heavy-duty,24122,1.7276579881580167e-08,3.0
P88,Books,Non-Fiction,"imported, durable, smart device",4225,3.33929657685797e-07,3.55
P89,Health,Wellness Devices,budget-friendly,14521,4.094174147622298e-08,7.4
P90,Grocery,Pantry Staples,"vintage style, wireless, locally sourced, modern design",25875,1.5334294348285467e-08,3.0
P91,Grocery,Snacks,durable,7402,1.2872620548561663e-07,3.0
P92,Beauty,Wellness,"lightweight, budget-friendly",581,9.737802898246313e-06,3.0
P93,Home & Kitchen,Appliances,"easy to use, for adults",20184,2.3390962952641384e-08,3.0
P94,Sports,Fitness Gear,"new arrival, limited edition, vegan friendly, for kids",25117,1.6129288250185545e-08,3.0
P95,Books,Sci-Fi,"organic certified, easy to use, premium quality, imported, essential item",14552,4.07935817249983e-08,25.0
P96,Home & Kitchen,Furniture,"heavy-duty, vintage style",23834,1.7632975957035695e-08,3.55
P97,Grocery,Beverages,"bestseller, gift idea, modern design",28469,1.3035498492547393e-08,3.0
P98,Automotive,Car Care,"handmade, gluten-free, easy to use",5550,2.1002081214335628e-07,3.4
P99,Automotive,Car Parts,"durable, locally sourced, premium quality, smart device",25353,1.587488174867758e-08,4.28
P100,Automotive,Electronics for Cars,"vegan friendly, handmade, heavy-duty, eco-friendly, easy to use",28969,1.2655329247174528e-08,3.0
P101,Sports,Racquet Sports,"budget-friendly, on sale, essential item, smart device",9182,8.924153145813039e-08,15.29
P102,Beauty,Skincare,"imported, limited edition, bestseller, premium quality",20488,2.2804005841153432e-08,3.0
P103,Fashion,Kids' Fashion,heavy-duty,6572,1.575703725225646e-07,3.0
P104,Health,Wellness Devices,"premium quality, collectible",11572,6.022351257204619e-08,3.0
P105,Grocery,Snacks,"new arrival, vintage style, for kids",9545,8.354901212710577e-08,25.0
P106,Health,Personal Care,gluten-free,27809,1.356579569877278e-08,3.0
P107,Automotive,Accessories,"budget-friendly, smart device, handmade, easy to use, locally sourced",11482,6.10282030540648e-08,3.0
P108,Books,Children's Books,"for kids, for adults",18788,2.6421864880994644e-08,3.93
P109,Sports,Cycling,"new arrival, locally sourced, modern design",24199,1.718322954037775e-08,3.45
P110,Toys,Educational Toys,"durable, gift idea, new arrival, vegan friendly",4964,2.5389046502749474e-07,10.22
P111,Home & Kitchen,Lighting,"eco-friendly, wireless, top rated, bestseller",27657,1.3692784915697516e-08,6.45
P112,Books,Sci-Fi,"organic certified, vintage style, limited edition, modern design",29402,1.2340129586134125e-08,5.37
P113,Electronics,Accessories,modern design,6863,1.4638163940552442e-07,4.12
P114,Health,Vitamins,"locally sourced, wireless",7919,1.1476800219992339e-07,3.2
P115,Sports,Fitness Gear,"budget-friendly, for kids, gluten-free, new arrival, heavy-duty",27238,1.4052789419796567e-08,7.58
P116,Home & Kitchen,Decor,"bestseller, gluten-free",15093,3.8339101647646585e-08,3.0
P117,Electronics,Smart Home,"wireless, collectible, easy to use, bestseller",11133,6.431609224781363e-08,3.0
P118,Beauty,Men's Grooming,budget-friendly,12903,5.0047941509899227e-08,3.0
P119,Toys,Educational Toys,"vintage style, smart device, vegan friendly, durable, organic certified",27773,1.3595702561681969e-08,3.0
P120,Grocery,Pantry Staples,"modern design, locally sourced, limited edition, collectible, essential item",1841,1.370783803563914e-06,3.0
P121,Sports,Water Sports,"durable, limited edition",3971,3.710484287442173e-07,6.56
P122,Automotive,Tools,"for adults, essential item, vintage style, lightweight",2296,9.416905289442541e-07,3.0
P123,Electronics,Smart Home,"for adults, new arrival, handmade, collectible",29974,1.1942476897015316e-08,3.0
P124,Books,Mystery,"gift idea, essential item, for adults",22518,1.942046926336046e-08,3.0
P125,Home & Kitchen,Lighting,"top rated, premium quality, heavy-duty, wireless",20140,2.3477903449049404e-08,3.0
P126,Electronics,Mobiles,gift idea,11868,5.769239799486999e-08,3.0
P127,Beauty,Wellness,limited edition,14657,4.0298024401825914e-08,3.0
P128,Automotive,Electronics for Cars,"vintage style, wireless, handmade, durable, bestseller",15848,3.528611283637813e-08,3.0
P129,Fashion,Footwear,"top rated, premium quality, easy to use, eco-friendly",26975,1.4286502915519427e-08,12.03
P130,Automotive,Car Care,"eco-friendly, customer favorite",6137,1.770251598732821e-07,3.0
P131,Home & Kitchen,Lighting,"collectible, vegan friendly",29883,1.2004367258989332e-08,7.91
P132,Home & Kitchen,Furniture,"lightweight, premium quality, handmade, for kids",25261,1.5973294131410337e-08,3.0
P133,Fashion,Kids' Fashion,gift idea,16669,3.238278345124393e-08,3.0
P134,Books,Fiction,"collectible, easy to use, on sale, budget-friendly",27649,1.3699520809686496e-08,3.0
P135,Home & Kitchen,Appliances,"easy to use, essential item, gift idea, bestseller, customer favorite",8748,9.689815065781203e-08,3.0
P136,Books,Non-Fiction,"collectible, top rated",27983,1.3422707971722196e-08,5.46
P137,Toys,Board Games,"customer favorite, durable, organic certified",16571,3.270902399687555e-08,11.75
P138,Beauty,Makeup,heavy-duty,9554,8.341525889451455e-08,22.02
P139,Health,Personal Care,"locally sourced, new arrival, vintage style, gluten-free",20255,2.325174674730501e-08,3.35
P140,Health,Supplements,"heavy-duty, handmade, bestseller, customer favorite, new arrival",3509,4.5787684208967215e-07,3.0
P141,Electronics,Smart Home,"collectible, eco-friendly, for adults, on sale, gluten-free",8640,9.896623364409464e-08,3.0
P142,Toys,Educational Toys,"modern design, for adults, lightweight, smart device",15994,3.474028276325156e-08,3.63
P143,Automotive,Electronics for Cars,"smart device, wireless",7706,1.2021290630153507e-07,3.0
P144,Books,Fiction,essential item,16719,3.2218320587784935e-08,3.0
P145,Grocery,Organic Foods,locally sourced,29740,1.210265813053663e-08,3.0
P146,Health,Personal Care,"imported, organic certified, durable, limited edition",8025,1.1220283623021322e-07,16.19
P147,Electronics,Wearables,"premium quality, limited edition, new arrival, smart device",14951,3.8960183555493585e-08,3.0
P148,Health,Supplements,"top rated, essential item, gift idea, eco-friendly",1572,1.793044565611022e-06,4.5
P149,Grocery,Organic Foods,"collectible, for adults, imported",99,0.00019723345117727536,3.0
P150,Automotive,Accessories,"for kids, easy to use, heavy-duty, durable, lightweight",1882,1.3204046722227092e-06,3.0
P151,Health,Supplements,"wireless, customer favorite",1774,1.4599542897648524e-06,3.0
P152,Home & Kitchen,Appliances,"modern design, handmade, organic certified, bestseller, smart device",9274,8.774176153459739e-08,3.0
P153,Automotive,Tools,"budget-friendly, for adults, premium quality, for kids, modern design",4318,3.217954656526848e-07,3.0
P154,Sports,Team Sports Gear,"imported, modern design, limited edition, essential item",7802,1.1770916981461505e-07,3.0
P155,Beauty,Haircare,"wireless, for adults",19081,2.5735847902540185e-08,3.46
P156,Fashion,Kids' Fashion,"lightweight, handmade, heavy-duty, on sale, smart device",28507,1.3005972401766403e-08,3.0
P157,Grocery,Frozen Foods,"budget-friendly, heavy-duty, easy to use",5890,1.8982980591984216e-07,3.0
P158,Automotive,Tools,"smart device, easy to use, customer favorite, limited edition, durable",5074,2.4460459881343963e-07,3.0
P159,Fashion,Kids' Fashion,"heavy-duty, budget-friendly, easy to use",28677,1.2875173410889347e-08,3.0
P160,Home & Kitchen,Bedding,"for kids, customer favorite, eco-friendly, handmade",19548,2.469940226261899e-08,3.0
P161,Grocery,Frozen Foods,"imported, locally sourced, for adults, limited edition, collectible",18900,2.6156241453167428e-08,3.0
P162,Toys,Educational Toys,"top rated, handmade",15788,3.551438551518954e-08,14.07
P163,Automotive,Accessories,"imported, essential item, new arrival",25292,1.594002545213073e-08,23.8
P164,Home & Kitchen,Decor,limited edition,4518,2.979557834353772e-07,6.13
P165,Beauty,Fragrance,"new arrival, lightweight",23089,1.8611085080308128e-08,25.0
P166,Fashion,Footwear,"easy to use, gluten-free, lightweight, eco-friendly, durable",23625,1.7898981355168258e-08,3.0
P167,Toys,Action Figures,"locally sourced, premium quality",14087,4.3109097415751796e-08,25.0
P168,Toys,Remote Control,"lightweight, vegan friendly",28846,1.274720253697833e-08,3.0
P169,Electronics,Accessories,"easy to use, organic certified, for adults",4787,2.700552211172511e-07,3.0
P170,Beauty,Skincare,"lightweight, essential item, wireless, organic certified, on sale",23934,1.7507914516605315e-08,5.47
P171,Grocery,Organic Foods,"on sale, vegan friendly, limited edition",27461,1.3859342039812703e-08,8.14
P172,Sports,Fitness Gear,"vintage style, customer favorite, eco-friendly",3809,3.9827381244036384e-07,3.0
P173,Toys,Dolls,"essential item, vintage style, vegan friendly, customer favorite, organic certified",13473,4.650194072413436e-08,3.0
P174,Sports,Water Sports,"eco-friendly, lightweight, collectible, on sale",839,5.213928502068443e-06,16.67
P175,Automotive,Accessories,"essential item, for adults, modern design, limited edition",22496,1.945276718899549e-08,6.73
P176,Books,Fiction,"collectible, vintage style, handmade",28342,1.3134954283955431e-08,3.0
P177,Sports,Outdoor Equipment,for kids,16002,3.4710762380180226e-08,3.0
P178,Grocery,Beverages,"for adults, modern design",21953,2.0277798972187544e-08,3.3
P179,Health,Medical Supplies,"budget-friendly, wireless, limited edition, bestseller",8787,9.616816736759888e-08,3.0
P180,Fashion,Footwear,"for adults, imported, vintage style, limited edition",18805,2.6381271939289887e-08,3.0
P181,Books,Sci-Fi,"modern design, for adults",27026,1.4240701777446609e-08,3.0
P182,Grocery,Beverages,"for adults, for kids, imported, budget-friendly, gift idea",4936,2.5634369975978676e-07,3.77
P183,Toys,Action Figures,"top rated, budget-friendly, vintage style",26456,1.4766218673505579e-08,25.0
P184,Toys,Board Games,eco-friendly,13639,4.554388822084897e-08,3.0
P185,Fashion,Footwear,"smart device, for adults, budget-friendly",23648,1.7869396954277006e-08,3.0
P186,Toys,Puzzles,new arrival,1297,2.486351041274253e-06,3.0
P187,Books,Sci-Fi,"vintage style, premium quality, easy to use, top rated",26246,1.4967631873494697e-08,5.77
P188,Health,Supplements,"vintage style, premium quality, modern design, for adults, customer favorite",20745,2.232582716201624e-08,3.0
P189,Books,Children's Books,heavy-duty,26223,1.4989956323297345e-08,3.0
P190,Health,Vitamins,"limited edition, organic certified",28069,1.3352869542637013e-08,3.0
P191,Beauty,Haircare,collectible,25313,1.5917551084795876e-08,16.23
P192,Grocery,Pantry Staples,"essential item, durable, smart device, collectible",15317,3.739082897882105e-08,10.35
P193,Grocery,Beverages,"locally sourced, gluten-free, for adults, eco-friendly, vintage style",21896,2.036761942076015e-08,4.32
P194,Electronics,Laptops,"gift idea, gluten-free",29339,1.2385210227851117e-08,25.0
P195,Home & Kitchen,Decor,"bestseller, vintage style",21213,2.1494970257367105e-08,3.0
P196,Electronics,Smart Home,"heavy-duty, premium quality, top rated, budget-friendly",1911,1.286522058235015e-06,3.0
P197,Automotive,Tools,"collectible, new arrival, for kids",23979,1.7452095859715966e-08,5.15
P198,Grocery,Snacks,"top rated, smart device, customer favorite",1204,2.8215995480120896e-06,12.74
P199,Health,Personal Care,"collectible, vegan friendly, imported",13893,4.413744040129091e-08,3.0
P200,Home & Kitchen,Decor,"budget-friendly, vegan friendly, locally sourced, modern design, imported",21618,2.0814885853014162e-08,7.17
P201,Books,Academic,"premium quality, on sale, budget-friendly, easy to use, collectible",152,9.51538369580324e-05,10.4
P202,Grocery,Pantry Staples,"new arrival, wireless, for adults, customer favorite",7542,1.246904829765043e-07,6.42
P203,Health,Vitamins,collectible,8844,9.511687145631759e-08,19.54
P204,Home & Kitchen,Lighting,"lightweight, for kids, smart device, durable, easy to use",28010,1.3400719595586166e-08,3.0
P205,Toys,Educational Toys,"top rated, limited edition, new arrival",113,0.00015751686185264317,4.18
P206,Beauty,Wellness,"limited edition, premium quality, for adults, imported, budget-friendly",5645,2.0404769642440185e-07,3.0
P207,Health,Wellness Devices,"durable, customer favorite, bestseller, heavy-duty",16433,3.317735432364902e-08,3.0
P208,Health,Personal Care,"organic certified, easy to use",8815,9.564944768115354e-08,4.92
P209,Automotive,Car Parts,"customer favorite, imported, for kids, collectible",1859,1.3482966089539019e-06,3.0
P210,Books,Academic,"locally sourced, essential item",20334,2.309838480659169e-08,7.43
P211,Home & Kitchen,Furniture,"gift idea, essential item",6249,1.7166529846048707e-07,3.11
P212,Fashion,Jewelry,"customer favorite, smart device",12217,5.491874816908033e-08,4.16
P213,Sports,Water Sports,"budget-friendly, easy to use, top rated, durable",21197,2.1522559899322824e-08,5.84
P214,Toys,Educational Toys,"handmade, bestseller, heavy-duty",2447,8.450504881461801e-07,3.0
P215,Automotive,Accessories,"limited edition, on sale, handmade, vegan friendly",15326,3.735350925448529e-08,3.0
P216,Health,Supplements,"organic certified, limited edition, collectible, essential item, vegan friendly",21528,2.0963034099219423e-08,3.0
P217,Home & Kitchen,Bedding,gift idea,14901,3.918268563716653e-08,3.09
P218,Electronics,Audio,imported,2611,7.568132427415362e-07,3.0
P219,Sports,Cycling,"lightweight, vegan friendly, top rated, limited edition, bestseller",25481,1.5739553550180024e-08,3.05
P220,Automotive,Car Care,"premium quality, wireless, heavy-duty",9427,8.533465614041254e-08,4.78
P221,Books,Non-Fiction,"gift idea, vegan friendly, wireless, top rated",19949,2.386132100414528e-08,3.8
P222,Sports,Racquet Sports,"collectible, heavy-duty, limited edition, imported, locally sourced",18225,2.7824386155493536e-08,3.0
P223,Toys,Remote Control,"organic certified, imported, wireless",29647,1.2167269402612723e-08,3.0
P224,Automotive,Car Care,limited edition,15704,3.5837930066020445e-08,11.03
P225,Beauty,Fragrance,"smart device, premium quality, heavy-duty",29357,1.2372303388002396e-08,5.67
P226,Home & Kitchen,Cookware,"modern design, on sale",13629,4.560071153258889e-08,25.0
P227,Grocery,Frozen Foods,"essential item, premium quality, lightweight",6535,1.5909000613990724e-07,4.1
P228,Fashion,Kids' Fashion,heavy-duty,15237,3.77251790794308e-08,3.0
P229,Electronics,Wearables,"for adults, top rated",8840,9.51900498674966e-08,3.0
P230,Toys,Dolls,"wireless, heavy-duty, on sale",21300,2.1345929906952202e-08,7.16
P231,Beauty,Wellness,"vintage style, on sale, eco-friendly",11627,5.974001972529226e-08,5.71
P232,Books,Mystery,"top rated, imported, locally sourced, vegan friendly",5184,2.3584676140677184e-07,3.4
P233,Fashion,Jewelry,"vintage style, collectible, gift idea, limited edition, customer favorite",18021,2.8361963744595047e-08,3.35
P234,Books,Children's Books,bestseller,16978,3.138725278737577e-08,4.89
P235,Books,Fiction,"eco-friendly, bestseller, new arrival, on sale, collectible",26254,1.4959879223114508e-08,3.73
P236,Health,Personal Care,"easy to use, premium quality, vintage style",22042,2.0138805529852828e-08,3.0
P237,Electronics,Wearables,"durable, top rated, gift idea",29775,1.2078483089133877e-08,3.0
P238,Electronics,Mobiles,"eco-friendly, budget-friendly, lightweight, customer favorite",265,3.6986430404474134e-05,3.0
P239,Health,Personal Care,"for kids, modern design, vegan friendly",6764,1.5004249825658684e-07,3.0
P240,Automotive,Car Care,"gift idea, bestseller, smart device, heavy-duty, for kids",10865,6.703627328043239e-08,3.49
P241,Sports,Racquet Sports,"premium quality, for kids, vegan friendly",5920,1.881973498175484e-07,3.0
P242,Automotive,Car Parts,"gluten-free, budget-friendly, modern design",14367,4.16905907306106e-08,3.0
P243,Fashion,Kids' Fashion,"new arrival, customer favorite, durable, gift idea, modern design",23949,1.7489276830491725e-08,6.42
P244,Books,Sci-Fi,"imported, gift idea, vintage style",26986,1.4276604468602213e-08,25.0
P245,Automotive,Tools,"essential item, gluten-free, lightweight",22974,1.876973566231286e-08,3.28
P246,Fashion,Watches,"imported, vegan friendly, vintage style, eco-friendly, organic certified",2492,8.192731845204088e-07,4.84
P247,Electronics,Cameras,new arrival,3339,4.982100597449654e-07,3.0
P248,Electronics,Mobiles,"collectible, gift idea, smart device",12965,4.9641754101101485e-08,3.0
P249,Automotive,Accessories,collectible,12258,5.460684132163061e-08,15.44
P250,Home & Kitchen,Cookware,"for adults, lightweight, gift idea, for kids",19091,2.571293505352946e-08,3.42
P251,Home & Kitchen,Bedding,"vintage style, durable, top rated",22350,1.9669286586725804e-08,6.81
P252,Electronics,Cameras,"handmade, durable, lightweight, smart device",11736,5.879985206566873e-08,3.0
P253,Fashion,Footwear,"lightweight, vintage style, handmade, premium quality, budget-friendly",14624,4.04527361275428e-08,3.0
P254,Electronics,Audio,"collectible, budget-friendly, bestseller, eco-friendly, for adults",5809,1.9435157517906005e-07,3.0
P255,Home & Kitchen,Lighting,gift idea,22794,1.902240746594e-08,3.0
P256,Home & Kitchen,Appliances,"new arrival, for kids",18291,2.765392242966312e-08,3.0
P257,Beauty,Makeup,"for kids, smart device, handmade, vintage style",1211,2.793928974218217e-06,3.0
P258,Automotive,Car Care,collectible,8763,9.661634964835211e-08,3.0
P259,Books,Non-Fiction,"locally sourced, durable, essential item",25893,1.5316176894480186e-08,3.0
P260,Home & Kitchen,Decor,"for kids, smart device",29658,1.2159598676312817e-08,6.03
P261,Health,Wellness Devices,"easy to use, new arrival, customer favorite, limited edition, on sale",17631,2.9436732249287697e-08,6.21
P262,Grocery,Snacks,"limited edition, for adults",14268,4.218355080472283e-08,3.0
P263,Beauty,Haircare,"vintage style, eco-friendly, limited edition",3848,3.914360291329358e-07,3.0
P264,Toys,Action Figures,"modern design, vintage style, budget-friendly, premium quality, organic certified",5278,2.2875070902248193e-07,3.0
P265,Books,Academic,customer favorite,1249,2.6509666220197697e-06,25.0
P266,Home & Kitchen,Cookware,"limited edition, wireless, organic certified",8796,9.600094977066374e-08,3.0
P267,Books,Children's Books,"top rated, bestseller, collectible",29277,1.2429831210587836e-08,3.0
P268,Toys,Board Games,"eco-friendly, locally sourced, vegan friendly, premium quality, heavy-duty",12693,5.146371446007638e-08,4.05
P269,Electronics,Laptops,"top rated, wireless, customer favorite, vintage style",3898,3.8293872391217003e-07,3.0
P270,Home & Kitchen,Appliances,"wireless, durable, lightweight",18965,2.6004024401096216e-08,3.0
P271,Home & Kitchen,Cookware,essential item,2859,6.486289683481371e-07,3.0
P272,Grocery,Snacks,"durable, wireless",22208,1.988356905588839e-08,3.0
P273,Books,Children's Books,"gift idea, on sale, bestseller",11493,6.092893871362079e-08,8.05
P274,Automotive,Car Parts,"for adults, organic certified, essential item",10099,7.590793414022402e-08,3.0
P275,Health,Wellness Devices,"for adults, on sale",22795,1.902098883921647e-08,3.0
P276,Home & Kitchen,Lighting,"customer favorite, durable",16803,3.19449930731559e-08,3.0
P277,Books,Sci-Fi,"on sale, eco-friendly",1552,1.8325021214608833e-06,3.0
P278,Beauty,Fragrance,"durable, essential item, on sale, collectible, vegan friendly",9227,8.850290371606683e-08,3.0
P279,Fashion,Kids' Fashion,"organic certified, handmade, locally sourced, limited edition, heavy-duty",28404,1.3086251063197892e-08,9.23
P280,Automotive,Accessories,imported,16935,3.1522856370710737e-08,3.0
P281,Electronics,Wearables,"bestseller, durable, customer favorite",28641,1.2902697143152142e-08,3.0
P282,Toys,Action Figures,"handmade, modern design",19308,2.522359656907717e-08,3.91
P283,Beauty,Makeup,gluten-free,3048,5.817480930014386e-07,3.0
P284,Sports,Cycling,"organic certified, imported, easy to use",24040,1.7376880607675113e-08,7.3
P285,Toys,Board Games,"vegan friendly, heavy-duty",12440,5.3255658401849795e-08,3.0
P286,Fashion,Men's Apparel,"essential item, organic certified, eco-friendly",13889,4.415905209739449e-08,4.48
P287,Electronics,Smart Home,"lightweight, organic certified, heavy-duty, bestseller",13049,4.909973090445207e-08,3.0
P288,Electronics,Cameras,"locally sourced, on sale, bestseller, collectible",11382,6.19425124357111e-08,3.0
